source	target	value	N
0	0	173	173
0	1	0	173
0	2	25	173
0	3	22	173
0	4	13	173
0	5	16	173
0	6	0	173
0	7	21	173
0	8	0	173
0	9	0	173
0	10	2	173
0	11	2	173
0	12	0	173
0	13	2	173
0	14	24	173
0	15	0	173
0	16	1	173
0	17	2	173
0	18	0	173
0	19	0	173
0	20	0	173
0	21	0	173
0	22	0	173
0	23	0	173
0	24	0	173
0	25	0	173
0	26	0	173
0	27	0	173
0	28	0	173
0	29	0	173
0	30	67	173
0	31	0	173
0	32	0	173
0	33	0	173
0	34	0	173
0	35	0	173
0	36	0	173
0	37	0	173
0	38	0	173
0	39	0	173
0	40	0	173
0	41	0	173
0	42	4	173
0	43	6	173
0	44	0	173
0	45	0	173
0	46	0	173
0	47	0	173
0	48	0	173
0	49	0	173
0	50	0	173
0	51	0	173
0	52	0	173
0	53	0	173
0	54	0	173
0	55	0	173
0	56	0	173
0	57	0	173
0	58	0	173
0	59	0	173
0	60	0	173
0	61	0	173
0	62	0	173
0	63	0	173
0	64	0	173
1	0	0	190
1	1	190	190
1	2	0	190
1	3	0	190
1	4	0	190
1	5	0	190
1	6	121	190
1	7	0	190
1	8	0	190
1	9	0	190
1	10	0	190
1	11	0	190
1	12	0	190
1	13	0	190
1	14	0	190
1	15	89	190
1	16	0	190
1	17	0	190
1	18	0	190
1	19	0	190
1	20	0	190
1	21	0	190
1	22	0	190
1	23	0	190
1	24	0	190
1	25	0	190
1	26	0	190
1	27	0	190
1	28	0	190
1	29	0	190
1	30	0	190
1	31	96	190
1	32	4	190
1	33	0	190
1	34	0	190
1	35	22	190
1	36	0	190
1	37	50	190
1	38	22	190
1	39	0	190
1	40	0	190
1	41	0	190
1	42	0	190
1	43	0	190
1	44	0	190
1	45	0	190
1	46	0	190
1	47	0	190
1	48	0	190
1	49	0	190
1	50	0	190
1	51	0	190
1	52	0	190
1	53	0	190
1	54	0	190
1	55	0	190
1	56	0	190
1	57	0	190
1	58	0	190
1	59	0	190
1	60	48	190
1	61	0	190
1	62	0	190
1	63	0	190
1	64	21	190
2	0	25	92
2	1	0	92
2	2	92	92
2	3	26	92
2	4	15	92
2	5	15	92
2	6	0	92
2	7	10	92
2	8	6	92
2	9	2	92
2	10	4	92
2	11	4	92
2	12	4	92
2	13	7	92
2	14	29	92
2	15	0	92
2	16	0	92
2	17	9	92
2	18	0	92
2	19	0	92
2	20	0	92
2	21	0	92
2	22	0	92
2	23	0	92
2	24	1	92
2	25	1	92
2	26	1	92
2	27	0	92
2	28	0	92
2	29	0	92
2	30	31	92
2	31	0	92
2	32	0	92
2	33	0	92
2	34	0	92
2	35	0	92
2	36	1	92
2	37	0	92
2	38	0	92
2	39	0	92
2	40	0	92
2	41	0	92
2	42	12	92
2	43	7	92
2	44	0	92
2	45	0	92
2	46	0	92
2	47	0	92
2	48	0	92
2	49	0	92
2	50	0	92
2	51	10	92
2	52	0	92
2	53	0	92
2	54	0	92
2	55	0	92
2	56	0	92
2	57	0	92
2	58	9	92
2	59	0	92
2	60	0	92
2	61	0	92
2	62	0	92
2	63	0	92
2	64	0	92
3	0	22	188
3	1	0	188
3	2	26	188
3	3	188	188
3	4	30	188
3	5	31	188
3	6	0	188
3	7	17	188
3	8	6	188
3	9	3	188
3	10	8	188
3	11	18	188
3	12	4	188
3	13	6	188
3	14	74	188
3	15	0	188
3	16	0	188
3	17	14	188
3	18	7	188
3	19	0	188
3	20	0	188
3	21	0	188
3	22	0	188
3	23	0	188
3	24	1	188
3	25	1	188
3	26	1	188
3	27	0	188
3	28	0	188
3	29	0	188
3	30	15	188
3	31	0	188
3	32	0	188
3	33	0	188
3	34	0	188
3	35	0	188
3	36	0	188
3	37	0	188
3	38	0	188
3	39	0	188
3	40	0	188
3	41	0	188
3	42	16	188
3	43	4	188
3	44	0	188
3	45	0	188
3	46	0	188
3	47	0	188
3	48	0	188
3	49	0	188
3	50	0	188
3	51	12	188
3	52	0	188
3	53	0	188
3	54	0	188
3	55	0	188
3	56	0	188
3	57	0	188
3	58	10	188
3	59	0	188
3	60	0	188
3	61	0	188
3	62	0	188
3	63	0	188
3	64	0	188
4	0	13	132
4	1	0	132
4	2	15	132
4	3	30	132
4	4	132	132
4	5	60	132
4	6	0	132
4	7	1	132
4	8	4	132
4	9	0	132
4	10	0	132
4	11	2	132
4	12	4	132
4	13	0	132
4	14	60	132
4	15	0	132
4	16	0	132
4	17	2	132
4	18	0	132
4	19	0	132
4	20	0	132
4	21	0	132
4	22	0	132
4	23	0	132
4	24	0	132
4	25	0	132
4	26	0	132
4	27	0	132
4	28	0	132
4	29	0	132
4	30	10	132
4	31	0	132
4	32	0	132
4	33	0	132
4	34	0	132
4	35	0	132
4	36	1	132
4	37	0	132
4	38	0	132
4	39	0	132
4	40	0	132
4	41	0	132
4	42	9	132
4	43	1	132
4	44	0	132
4	45	0	132
4	46	0	132
4	47	0	132
4	48	0	132
4	49	0	132
4	50	0	132
4	51	5	132
4	52	0	132
4	53	0	132
4	54	0	132
4	55	0	132
4	56	0	132
4	57	0	132
4	58	4	132
4	59	0	132
4	60	0	132
4	61	0	132
4	62	0	132
4	63	0	132
4	64	0	132
5	0	16	113
5	1	0	113
5	2	15	113
5	3	31	113
5	4	60	113
5	5	113	113
5	6	0	113
5	7	1	113
5	8	6	113
5	9	0	113
5	10	0	113
5	11	0	113
5	12	4	113
5	13	8	113
5	14	48	113
5	15	0	113
5	16	0	113
5	17	2	113
5	18	0	113
5	19	0	113
5	20	0	113
5	21	0	113
5	22	3	113
5	23	0	113
5	24	4	113
5	25	0	113
5	26	0	113
5	27	0	113
5	28	0	113
5	29	0	113
5	30	10	113
5	31	0	113
5	32	0	113
5	33	0	113
5	34	0	113
5	35	0	113
5	36	1	113
5	37	0	113
5	38	0	113
5	39	0	113
5	40	0	113
5	41	0	113
5	42	13	113
5	43	1	113
5	44	0	113
5	45	0	113
5	46	0	113
5	47	0	113
5	48	0	113
5	49	0	113
5	50	0	113
5	51	5	113
5	52	0	113
5	53	0	113
5	54	0	113
5	55	0	113
5	56	0	113
5	57	0	113
5	58	12	113
5	59	0	113
5	60	0	113
5	61	4	113
5	62	0	113
5	63	0	113
5	64	0	113
6	0	0	136
6	1	121	136
6	2	0	136
6	3	0	136
6	4	0	136
6	5	0	136
6	6	136	136
6	7	0	136
6	8	0	136
6	9	0	136
6	10	0	136
6	11	0	136
6	12	0	136
6	13	0	136
6	14	0	136
6	15	77	136
6	16	0	136
6	17	0	136
6	18	0	136
6	19	0	136
6	20	0	136
6	21	0	136
6	22	0	136
6	23	0	136
6	24	0	136
6	25	0	136
6	26	0	136
6	27	0	136
6	28	0	136
6	29	0	136
6	30	0	136
6	31	75	136
6	32	3	136
6	33	0	136
6	34	0	136
6	35	20	136
6	36	0	136
6	37	43	136
6	38	22	136
6	39	0	136
6	40	0	136
6	41	0	136
6	42	0	136
6	43	0	136
6	44	0	136
6	45	0	136
6	46	0	136
6	47	0	136
6	48	0	136
6	49	0	136
6	50	0	136
6	51	0	136
6	52	0	136
6	53	0	136
6	54	0	136
6	55	0	136
6	56	0	136
6	57	0	136
6	58	0	136
6	59	0	136
6	60	39	136
6	61	0	136
6	62	0	136
6	63	0	136
6	64	18	136
7	0	21	94
7	1	0	94
7	2	10	94
7	3	17	94
7	4	1	94
7	5	1	94
7	6	0	94
7	7	94	94
7	8	0	94
7	9	0	94
7	10	6	94
7	11	11	94
7	12	0	94
7	13	2	94
7	14	16	94
7	15	0	94
7	16	0	94
7	17	2	94
7	18	2	94
7	19	0	94
7	20	0	94
7	21	0	94
7	22	0	94
7	23	0	94
7	24	0	94
7	25	0	94
7	26	0	94
7	27	0	94
7	28	0	94
7	29	0	94
7	30	24	94
7	31	0	94
7	32	0	94
7	33	0	94
7	34	0	94
7	35	0	94
7	36	0	94
7	37	0	94
7	38	0	94
7	39	0	94
7	40	0	94
7	41	0	94
7	42	0	94
7	43	4	94
7	44	0	94
7	45	0	94
7	46	0	94
7	47	0	94
7	48	0	94
7	49	0	94
7	50	0	94
7	51	4	94
7	52	0	94
7	53	0	94
7	54	0	94
7	55	0	94
7	56	0	94
7	57	0	94
7	58	0	94
7	59	0	94
7	60	0	94
7	61	0	94
7	62	0	94
7	63	0	94
7	64	0	94
8	0	0	88
8	1	0	88
8	2	6	88
8	3	6	88
8	4	4	88
8	5	6	88
8	6	0	88
8	7	0	88
8	8	88	88
8	9	6	88
8	10	5	88
8	11	2	88
8	12	4	88
8	13	2	88
8	14	2	88
8	15	0	88
8	16	0	88
8	17	0	88
8	18	1	88
8	19	0	88
8	20	1	88
8	21	0	88
8	22	2	88
8	23	0	88
8	24	2	88
8	25	0	88
8	26	0	88
8	27	0	88
8	28	0	88
8	29	0	88
8	30	0	88
8	31	0	88
8	32	0	88
8	33	1	88
8	34	0	88
8	35	0	88
8	36	0	88
8	37	0	88
8	38	0	88
8	39	0	88
8	40	0	88
8	41	0	88
8	42	1	88
8	43	1	88
8	44	0	88
8	45	0	88
