Õppekava	Õppeaste	Instituut	Õppevorm	Aineid	Kood	Täituvus	Maksumus	Aineid_aastas
Klassiõpetaja	INT	haridusteaduste instituut	päevane	173	2392	0.88	2825.83551076565	35
Klassiõpetaja mitmekeelses koolis	INT	Narva kolledž	päevane	190	2393	1	2404.54623086975	38
Kutseõpetaja	BA	haridusteaduste instituut	AÜ	92	2394	1	2108.43873110625	31
Humanitaar- ja sotsiaalainete õpetamine põhikoolis	BA	haridusteaduste instituut	päevane	188	2400	0.755555555555556	2526.02694138756	63
Haridusteadus (loodusteaduslikud ained)	BA	haridusteaduste instituut	päevane	132	2401	0.4	4319.21672280805	44
Haridusteadus (reaalained)	BA	haridusteaduste instituut	päevane	113	2402	0.6	3617.82488875617	38
Humanitaarained mitmekeelses koolis	BA	Narva kolledž	päevane	136	2403	1	2124.93101480306	45
Eripedagoogika	BA	haridusteaduste instituut	päevane	94	2407	1.15	2374.11242114803	31
Majandusteadus	BA	majandusteaduskond	päevane	88	2442		2637.29259113977	29
Riigiteadused	BA	Johan Skytte poliitikauuringute instituut	päevane	52	2444	0.98	1669.19301501366	17
Sotsioloogia  sotsiaaltöö ja sotsiaalpoliitika	BA	ühiskonnateaduste instituut	päevane	93	2446	0.555555555555556	2121.68696799652	31
Psühholoogia	BA	psühholoogia instituut	päevane	89	2448	1	1634.95105769587	30
Õigusteadus	BA	õigusteaduskond	päevane	265	2458		2707.37429616645	88
Ajakirjandus ja kommunikatsioon	BA	ühiskonnateaduste instituut	päevane	83	2487	1	1772.06056761322	28
Põhikooli mitme aine õpetaja	MA	haridusteaduste instituut	päevane	282	2498	0.916666666666667	5452.49404023679	141
Humanitaarainete õpetaja mitmekeelses koolis	MA	Narva kolledž	päevane	134	2531	1	2504.21494832209	67
Eripedagoogika ja logopeedia	MA	haridusteaduste instituut	päevane	55	2533	1	3108.18570550538	28
Kasvatusteadused	MA	haridusteaduste instituut	AÜ	44	2535	0.8	2339.81673960281	22
Majandusteadus	MA	majandusteaduskond	päevane	79	2565	0.789473684210526	3776.20548230964	40
Rahvusvahelised suhted	MA	Johan Skytte poliitikauuringute instituut	päevane	43	2568	0.941176470588235	2527.96547230538	22
Võrdlev poliitika	MA	Johan Skytte poliitikauuringute instituut	päevane	48	2569	0.466666666666667	3281.93254060829	24
Sotsioloogia	MA	ühiskonnateaduste instituut	päevane	34	2571	0.75	3569.54529290045	17
Psühholoogia	MA	psühholoogia instituut	päevane	68	2574	1	2405.23117412617	34
Sotsiaaltöö ja sotsiaalpoliitika	MA	ühiskonnateaduste instituut	päevane	40	2584	0.909090909090909	2247.0606160709	20
Õigusteadus	MA	õigusteaduskond	päevane	235	2588		3977.87933387194	118
Ajakirjandus	MA	ühiskonnateaduste instituut	päevane	50	2630	0.941176470588235	2585.80707304773	25
Kommunikatsioonijuhtimine	MA	ühiskonnateaduste instituut	päevane	48	2633	1	2562.89744993971	24
Sotsiaaltöö ja rehabilitatsiooni korraldus	RAK	Pärnu kolledž	päevane	124	2946	1	3290.2796971368	41
Ettevõtlus ning tehnoloogia juhtimine	MA	majandusteaduskond	AÜ	32	3093	1	3047.63343775746	16
Euroopa õpingud	MA	Johan Skytte poliitikauuringute instituut	päevane	29	3094	1	2477.9481061735	15
Koolieelse lasteasutuse õpetaja	BA	haridusteaduste instituut	päevane	114	3131	1.05	2100.22223154642	38
Koolieelse lasteasutuse õpetaja mitmekeelses õppekeskkonnas	BA	Narva kolledž	päevane	127	3132	1	2380.67769133381	42
Koolieelse lasteasutuse pedagoog mitmekeelses õppekeskkonnas	MA	Narva kolledž	päevane	28	3133		3535.39444279215	14
Strateegiline juhtimine	MA	majandusteaduskond	AÜ	32	3216	1	4275.50785186053	16
Turismi- ja hotelliettevõtlus	RAK	Pärnu kolledž	päevane	113	3233	1	2638.39324953671	38
Ettevõtlus ja projektijuhtimine	RAK	Pärnu kolledž	päevane	198	3255		2979.4605691561	66
Ärijuhtimine	MA	majandusteaduskond	AÜ	37	3257	0.91304347826087	3304.57331831609	19
Noorsootöö	RAK	Narva kolledž	päevane	125	80010	1	2387.73858156989	31
Kohaliku omavalitsuse korraldus	RAK	Narva kolledž	päevane	82	80011	0		27
Läänemere regiooni uuringud	MA	Johan Skytte poliitikauuringute instituut	päevane	36	80046	1	2716.17558257835	18
Info- ja dokumendihaldus	RAK	ühiskonnateaduste instituut	päevane	122	80285		2973.10316674765	41
Raamatukogundus ja infokeskkonnad	RAK	ühiskonnateaduste instituut	päevane	138	80289		3413.68072933584	46
Hariduskorraldus	MA	haridusteaduste instituut	AÜ	66	80318	1	2168.07042995229	33
Koolieelse lasteasutuse pedagoog	MA	haridusteaduste instituut	AÜ	43	80324	0.666666666666667	2177.97880996665	22
Sotsioloogia	DOK	ühiskonnateaduste instituut	päevane	55	80325		7881.38879586678	14
Psühholoogia	DOK	psühholoogia instituut	päevane	45	80327		7479.85234618598	11
Politoloogia	DOK	Johan Skytte poliitikauuringute instituut	päevane	49	80328		6899.00753931791	12
Meedia ja kommunikatsioon	DOK	ühiskonnateaduste instituut	päevane	66	80329		6858.28537638011	17
Haridusteadus	DOK	haridusteaduste instituut	päevane	66	80338		7025.10911858523	17
Majandusteadus	DOK	majandusteaduskond	päevane	51	80358		10369.0425247579	13
Õigusteadus	DOK	õigusteaduskond	päevane	71	80359		8497.42319356381	18
Eesti viipekeele tõlk	RAK	haridusteaduste instituut	päevane	60	80493	0.75	3598.18654666775	20
Ettevõttemajandus	BA	majandusteaduskond	päevane	60	80995	0.941176470588235	3499.33395444855	20
Euroopa Liidu - Venemaa uuringud	MA	Johan Skytte poliitikauuringute instituut	päevane	29	83324	1	2667.19354273573	15
Heaolu- ja spaateenuste disain ja juhtimine	MA	Pärnu kolledž	päevane	16	84925	1	3336.82862221815	8
Teenuste disain ja juhtimine	MA	Pärnu kolledž	AÜ	31	108444	1	2442.49801695649	16
Ristmeedia tootmine	MA	ühiskonnateaduste instituut	päevane	10	108524		2435.60360270076	5
Info- ja teadmusjuhtimine	MA	ühiskonnateaduste instituut	päevane	27	112237	1	2736.23801628324	14
Infokorraldus	RAK	ühiskonnateaduste instituut	päevane	84	120187	1	2020.97388274414	28
Matemaatiline majandusteadus	MA	majandusteaduskond	päevane	24	125617	1.25	3119.56943863973	12
Noorsootöö	RAK	Narva kolledž	päevane	92	125997	1	2022.17530757712	26
Infotehnoloogiaõigus	MA	õigusteaduskond	päevane	15	129617	1.4		15
Demokraatia ja valitsemine	MA	Johan Skytte poliitikauuringute instituut	päevane	25	129637	0.48		13
Rahvusvahelised suhted ja regiooni uuringud	MA	Johan Skytte poliitikauuringute instituut	päevane	32	129657	0.88		16
Infotehnoloogiliste süsteemide arendus	RAK	Narva kolledž	päevane	39	136638	1.24		13
